group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,1956,1110,3080,33561328,3296681,727807,21101,34298162,3317782,
,,1,1000,1024,4096,true,1983,1009,2999,33561340,3296633,729517,21113,34298162,3317746,
,,1,1000,1024,4096,true,1933,966,2907,33561340,3296633,729517,21101,34298162,3317734,
bandwidth,,25,10,1024,4096,true,29624,2085,31725,33561712,3297461,729517,21113,34298534,3318574,
bandwidth,,25,10,1024,4096,true,29543,2047,31606,33561724,3297509,729517,21113,34298546,3318622,
bandwidth,,25,10,1024,4096,true,29629,1994,31639,33561712,3297485,729517,21113,34298534,3318598,
bandwidth,,25,10,1024,4096,true,29636,2011,31663,33561724,3297509,729517,21113,34298546,3318622,
bandwidth,,25,10,1024,4096,true,29529,1980,31527,33561688,3297425,729517,21113,34298510,3318538,
bandwidth,,25,10,1024,4096,true,29611,1946,31572,33561748,3297593,727795,21113,34298570,3318706,
bandwidth,,25,10,1024,4096,true,29550,1955,31523,33561700,3297437,729517,21113,34298522,3318550,
bandwidth,,25,10,1024,4096,true,29552,2062,31628,33561688,3297485,729517,21113,34298510,3318598,
bandwidth,,25,10,1024,4096,true,29585,2054,31655,33561748,3297545,729517,21113,34298570,3318658,
bandwidth,,25,10,1024,4096,true,29892,1987,31896,33561724,3297533,729517,21113,34298546,3318646,
bandwidth,,25,50,1024,4096,true,6972,1630,8624,33561484,3297017,729529,21113,34298318,3318130,
bandwidth,,25,50,1024,4096,true,7006,1719,8740,33561484,3297017,728668,21113,34298318,3318130,
bandwidth,,25,50,1024,4096,true,6973,1635,8624,33561676,3297353,728668,21113,34298510,3318466,
bandwidth,,25,50,1024,4096,true,6968,1596,8581,33561532,3297041,729529,21113,34298366,3318154,
bandwidth,,25,50,1024,4096,true,6985,1682,8683,33561532,3297041,729529,21113,34298366,3318154,
bandwidth,,25,50,1024,4096,true,6976,1777,8768,33561472,3296969,729529,21113,34298306,3318082,
bandwidth,,25,50,1024,4096,true,6972,1690,8678,33561460,3296969,729529,21113,34298294,3318082,
bandwidth,,25,50,1024,4096,true,7000,1609,8624,33561460,3296969,728668,21113,34298294,3318082,
bandwidth,,25,50,1024,4096,true,7082,1655,8755,33561460,3296969,729529,21113,34298294,3318082,
bandwidth,,25,50,1024,4096,true,7060,1707,8782,33561460,3296957,729529,21113,34298294,3318070,
bandwidth,,25,100,1024,4096,true,4132,1663,5810,33561460,3296885,729517,21113,34298282,3317998,
bandwidth,,25,100,1024,4096,true,4375,1606,6000,33561460,3296945,729517,21113,34298282,3318058,
bandwidth,,25,100,1024,4096,true,4228,1656,5899,33561460,3296945,729517,21113,34298282,3318058,
bandwidth,,25,100,1024,4096,true,4177,1695,5889,33561460,3296873,729517,21113,34298282,3317986,
bandwidth,,25,100,1024,4096,true,4162,1562,5738,33561448,3296837,729517,21113,34298270,3317950,
bandwidth,,25,100,1024,4096,true,4220,1581,5818,33561460,3296933,729517,21113,34298282,3318046,
bandwidth,,25,100,1024,4096,true,4324,1605,5945,33561472,3296957,729529,21101,34298306,3318058,
bandwidth,,25,100,1024,4096,true,4221,1572,5808,33561460,3296909,729517,21113,34298282,3318022,
bandwidth,,25,100,1024,4096,true,4189,1624,5828,33561460,3296837,729517,21101,34298282,3317938,
bandwidth,,25,100,1024,4096,true,4248,1543,5806,33561472,3296933,729517,21113,34298294,3318046,
bandwidth,,25,250,1024,4096,true,2613,1591,4219,33561352,3296693,729517,21101,34298174,3317794,
