group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,723,287,1014,33561592,3297149,729517,21101,34298414,3318250,
,,1,1000,1024,4096,true,532,267,804,33561808,3297533,729517,21101,34298630,3318634,
,,1,1000,1024,4096,true,505,243,751,33561532,3296957,729517,21113,34298354,3318070,
bandwidth,,25,10,1024,4096,true,29361,1509,30877,33561520,3296945,728656,21113,34298342,3318058,
bandwidth,,25,10,1024,4096,true,29404,1580,30993,33561556,3296969,729517,21113,34298378,3318082,
bandwidth,,25,10,1024,4096,true,29379,1554,30942,33561604,3296993,729517,21113,34298426,3318106,
bandwidth,,25,10,1024,4096,true,29462,1543,31014,33561556,3296981,728656,21113,34298378,3318094,
bandwidth,,25,10,1024,4096,true,29446,1535,30988,33561592,3296993,729517,21113,34298414,3318106,
bandwidth,,25,10,1024,4096,true,29317,1532,30857,33561628,3297029,729517,21113,34298450,3318142,
bandwidth,,25,10,1024,4096,true,29311,1526,30846,33561568,3296969,729517,21113,34298390,3318082,
bandwidth,,25,10,1024,4096,true,29428,1525,30958,33561580,3296945,729517,21113,34298402,3318058,
bandwidth,,25,10,1024,4096,true,29392,1531,30931,33561520,3296945,729517,21113,34298342,3318058,
bandwidth,,25,10,1024,4096,true,29329,1523,30859,33561556,3296945,729517,21113,34298378,3318058,
bandwidth,,25,50,1024,4096,true,6184,1187,7383,33561472,3297041,729529,21113,34298306,3318154,
bandwidth,,25,50,1024,4096,true,6176,1225,7408,33561448,3297053,729529,21101,34298282,3318154,
bandwidth,,25,50,1024,4096,true,6207,1220,7434,33561472,3297053,729529,21113,34298306,3318166,
bandwidth,,25,50,1024,4096,true,6200,1209,7420,33561448,3297053,729529,21101,34298282,3318154,
bandwidth,,25,50,1024,4096,true,6205,1212,7425,33561472,3297053,729529,21113,34298306,3318166,
bandwidth,,25,50,1024,4096,true,6162,1220,7390,33561472,3297053,729529,21113,34298306,3318166,
bandwidth,,25,50,1024,4096,true,6166,1221,7394,33561472,3297041,729529,21113,34298306,3318154,
bandwidth,,25,50,1024,4096,true,6153,1174,7336,33561472,3297053,729529,21113,34298306,3318166,
bandwidth,,25,50,1024,4096,true,6143,1193,7343,33561448,3297077,729529,21113,34298282,3318190,
bandwidth,,25,50,1024,4096,true,6177,1224,7413,33561532,3296981,729529,21113,34298366,3318094,
bandwidth,,25,100,1024,4096,true,3301,1203,4514,33561448,3296861,726934,21101,34298270,3317962,
bandwidth,,25,100,1024,4096,true,3335,1157,4500,33561448,3296933,729517,21101,34298270,3318034,
bandwidth,,25,100,1024,4096,true,3337,1173,4516,33561412,3296981,729517,21101,34298234,3318082,
bandwidth,,25,100,1024,4096,true,3378,1174,4561,33561376,3296873,729517,21101,34298198,3317974,
bandwidth,,25,100,1024,4096,true,3319,1153,4481,33561376,3296969,729517,21101,34298198,3318070,
bandwidth,,25,100,1024,4096,true,3352,1145,4502,33561412,3296969,729517,21101,34298234,3318070,
bandwidth,,25,100,1024,4096,true,3315,1181,4502,33561412,3296945,729517,21101,34298234,3318046,
bandwidth,,25,100,1024,4096,true,3302,1153,4463,33561400,3296897,729517,21113,34298222,3318010,
bandwidth,,25,100,1024,4096,true,3301,1157,4467,33561424,3296921,729517,21101,34298246,3318022,
bandwidth,,25,100,1024,4096,true,3374,1192,4585,33561424,3296885,729517,21101,34298246,3317986,
bandwidth,,25,250,1024,4096,true,1753,1165,2925,33561352,3296645,729517,21113,34298174,3317758,
bandwidth,,25,250,1024,4096,true,1695,1177,2878,33561352,3296633,729517,21113,34298174,3317746,
bandwidth,,25,250,1024,4096,true,1709,1215,2936,33561340,3296633,729517,21113,34298162,3317746,
bandwidth,,25,250,1024,4096,true,1699,1142,2850,33561352,3296645,729517,21113,34298174,3317758,
bandwidth,,25,250,1024,4096,true,1719,1140,2864,33561364,3296645,729517,21113,34298186,3317758,
bandwidth,,25,250,1024,4096,true,1714,1144,2865,33561352,3296645,729517,21113,34298174,3317758,
bandwidth,,25,250,1024,4096,true,1730,1152,2888,33561352,3296645,729517,21113,34298174,3317758,
bandwidth,,25,250,1024,4096,true,1738,1154,2902,33561352,3296645,729517,21113,34298174,3317758,
bandwidth,,25,250,1024,4096,true,1743,1201,2955,33561352,3296645,729517,21113,34298174,3317758,
bandwidth,,25,250,1024,4096,true,1741,1157,2902,33561364,3296633,729517,21113,34298186,3317746,
bandwidth,,25,1000,1024,4096,true,1023,1194,2224,33561352,3296633,728656,21113,34298174,3317746,
bandwidth,,25,1000,1024,4096,true,1000,1188,2198,33561352,3296633,729517,21101,34298174,3317734,
bandwidth,,25,1000,1024,4096,true,997,1165,2170,33561352,3296657,729517,21101,34298174,3317758,
bandwidth,,25,1000,1024,4096,true,980,1165,2154,33561352,3296633,729517,21113,34298174,3317746,
bandwidth,,25,1000,1024,4096,true,937,1174,2119,33561304,3296645,729517,21101,34298126,3317746,
bandwidth,,25,1000,1024,4096,true,1007,1172,2187,33561352,3296657,729517,21113,34298174,3317770,
bandwidth,,25,1000,1024,4096,true,958,1154,2116,33561352,3296633,729517,21113,34298174,3317746,
bandwidth,,25,1000,1024,4096,true,995,1210,2210,33561340,3296657,729529,21113,34298174,3317770,
bandwidth,,25,1000,1024,4096,true,993,1190,2190,33561340,3296645,729517,21113,34298162,3317758,
bandwidth,,25,1000,1024,4096,true,964,1161,2132,33561340,3296633,729517,21113,34298162,3317746,
download_size,,10,200,2048,1024,true,2345,847,3197,46700896,3361305,1276573,22137,47982726,3383442,
download_size,,10,200,2048,1024,true,2334,828,3168,46700920,3361341,1276585,22149,47982762,3383490,
download_size,,10,200,2048,1024,true,2353,835,3193,46700956,3361341,1276585,22149,47982798,3383490,
download_size,,10,200,2048,1024,true,2392,837,3232,46700932,3361413,1273990,22149,47982762,3383562,
download_size,,10,200,2048,1024,true,2469,888,3362,46700896,3361353,1276585,22149,47982738,3383502,
download_size,,10,200,2048,1024,true,2436,881,3324,46700956,3361353,1276573,22149,47982786,3383502,
download_size,,10,200,2048,1024,true,2451,844,3303,46700956,3361317,1276585,22149,47982798,3383466,
download_size,,10,200,2048,1024,true,2430,816,3252,46700956,3361341,1276573,22149,47982786,3383490,
download_size,,10,200,2048,1024,true,2394,826,3224,46700932,3361353,1276573,22149,47982762,3383502,
download_size,,10,200,2048,1024,true,2465,849,3318,46700896,3361293,1276585,22137,47982738,3383430,
download_size,,10,200,2048,2048,true,2426,830,3261,46700944,3361353,1277597,22149,47984822,3383502,
download_size,,10,200,2048,2048,true,2353,835,3193,46700968,3361341,1277609,22149,47984858,3383490,
download_size,,10,200,2048,2048,true,2434,836,3274,46700896,3361305,1277609,22149,47984786,3383454,
download_size,,10,200,2048,2048,true,2472,877,3356,46700920,3361341,1277597,22137,47984798,3383478,
download_size,,10,200,2048,2048,true,2483,838,3325,46700968,3361341,1277597,22149,47984846,3383490,
download_size,,10,200,2048,2048,true,2506,829,3339,46700908,3361341,1277597,22149,47984786,3383490,
download_size,,10,200,2048,2048,true,2393,826,3227,46700908,3361329,1277597,22137,47984786,3383466,
download_size,,10,200,2048,2048,true,2468,821,3294,46701736,3362865,1277609,22161,47985626,3385026,
download_size,,10,200,2048,2048,true,2395,830,3229,46700956,3361329,1277597,22149,47984834,3383478,
download_size,,10,200,2048,2048,true,2453,850,3306,46700944,3361341,1277597,22149,47984822,3383490,
download_size,,10,200,2048,4096,true,2400,885,3289,46701460,3362085,1279657,22149,47989446,3384234,
download_size,,10,200,2048,4096,true,2434,845,3283,46701748,3362877,1279657,22161,47989734,3385038,
download_size,,10,200,2048,4096,true,2397,827,3228,46700884,3361305,1279645,22137,47988858,3383442,
download_size,,10,200,2048,4096,true,2441,835,3278,46700908,3361353,1279645,22149,47988882,3383502,
download_size,,10,200,2048,4096,true,2353,822,3178,46701016,3361353,1279645,22149,47988990,3383502,
download_size,,10,200,2048,4096,true,2429,838,3272,46700968,3361341,1277074,22149,47988954,3383490,
download_size,,10,200,2048,4096,true,2429,826,3260,46700980,3361353,1279657,22149,47988966,3383502,
download_size,,10,200,2048,4096,true,2436,872,3315,46700968,3361209,1277062,22149,47988942,3383358,
download_size,,10,200,2048,4096,true,2455,842,3303,46701640,3362517,1279657,22161,47989626,3384678,
download_size,,10,200,2048,4096,true,2412,825,3240,46700896,3361497,1279645,22149,47988870,3383646,
download_size,,10,200,2048,8192,true,2368,821,3195,46700956,3361353,1283753,22149,47997134,3383502,
download_size,,10,200,2048,8192,true,2460,818,3281,46700896,3361353,1281158,22149,47997062,3383502,
download_size,,10,200,2048,8192,true,2486,854,3345,46700920,3361353,1281170,22149,47997098,3383502,
download_size,,10,200,2048,8192,true,2415,842,3262,46700920,3361353,1283741,22137,47997086,3383490,
download_size,,10,200,2048,8192,true,2384,833,3222,46700932,3361353,1283741,22149,47997098,3383502,
download_size,,10,200,2048,8192,true,2460,811,3275,46700896,3361293,1283741,22137,47997062,3383430,
download_size,,10,200,2048,8192,true,2418,834,3259,46700932,3361353,1283741,22149,47997098,3383502,
download_size,,10,200,2048,8192,true,2381,864,3250,46700968,3361353,1283753,22149,47997146,3383502,
download_size,,10,200,2048,8192,true,2499,840,3343,46700932,3361341,1283741,22137,47997098,3383478,
download_size,,10,200,2048,8192,true,2449,876,3330,46700884,3361341,1283753,22149,47997062,3383490,
download_size,,10,200,2048,16384,true,2456,863,3323,46700896,3361305,1293147,22153,48014706,3383458,
download_size,,10,200,2048,16384,true,2401,886,3291,46701004,3361353,1293147,22153,48014814,3383506,
download_size,,10,200,2048,16384,true,2432,866,3303,46700908,3361305,1293147,22141,48014718,3383446,
download_size,,10,200,2048,16384,true,2404,883,3290,46700920,3361353,1293147,22153,48014730,3383506,
download_size,,10,200,2048,16384,true,2390,883,3276,46700932,3361353,1293159,22153,48014754,3383506,
download_size,,10,200,2048,16384,true,2560,1000,3567,46700920,3361353,1293147,22153,48014730,3383506,
download_size,,10,200,2048,16384,true,2352,862,3217,46700992,3361341,1293147,22153,48014802,3383494,
download_size,,10,200,2048,16384,true,2392,899,3295,46700896,3361293,1293147,22141,48014706,3383434,
download_size,,10,200,2048,16384,true,2383,872,3258,46701028,3361341,1293159,22153,48014850,3383494,
download_size,,10,200,2048,16384,true,2473,879,3358,46700920,3361353,1293147,22141,48014730,3383494,
download_size,,10,200,2048,32768,true,2424,858,3287,46700884,3361293,1310547,22141,48048522,3383434,
download_size,,10,200,2048,32768,true,2402,874,3282,46700896,3361305,1310547,22141,48048534,3383446,
download_size,,10,200,2048,32768,true,2406,869,3280,46700920,3361269,1310547,22141,48048558,3383410,
download_size,,10,200,2048,32768,true,2358,886,3247,46700944,3361353,1310559,22153,48048594,3383506,
download_size,,10,200,2048,32768,true,2427,879,3311,46701748,3362853,1310547,22153,48049386,3385006,
download_size,,10,200,2048,32768,true,2404,882,3290,46700944,3361341,1310559,22153,48048594,3383494,
download_size,,10,200,2048,32768,true,2373,907,3285,46700896,3361305,1310559,22141,48048546,3383446,
download_size,,10,200,2048,32768,true,2338,862,3205,46700884,3361341,1310547,22153,48048522,3383494,
download_size,,10,200,2048,32768,true,2383,872,3262,46701232,3361785,1310559,22153,48048882,3383938,
download_size,,10,200,2048,32768,true,2397,875,3276,46701664,3362733,1310547,22141,48049302,3384874,
download_size,,10,200,2048,65536,true,2372,942,3321,46700944,3361329,1345347,22153,48116238,3383482,
download_size,,10,200,2048,65536,true,2295,936,3235,46700980,3361341,1345359,22153,48116286,3383494,
download_size,,10,200,2048,65536,true,2343,966,3313,46701004,3361329,1345359,22153,48116310,3383482,
download_size,,10,200,2048,65536,true,2387,937,3331,46700884,3361353,1345359,22153,48116190,3383506,
download_size,,10,200,2048,65536,true,2358,934,3297,46700896,3361293,1345359,22141,48116202,3383434,
download_size,,10,200,2048,65536,true,2318,916,3238,46700944,3361341,1345347,22153,48116238,3383494,
download_size,,10,200,2048,65536,true,2385,934,3323,46700860,3361293,1345359,22141,48116166,3383434,
download_size,,10,200,2048,65536,true,2350,934,3289,46700920,3361341,1345347,22153,48116214,3383494,
