group,kind,name,bandwidth(Mbps),latency(ms),request_size(B),response_size(B),runtime(ms),send_bytes(B),recv_bytes(B),memory_rss(MB),tls_handshake_ms,online_ms,zk_proof_total,zk_generate_ms,zk_proof_bytes,zk_verify_attestor_ms,third_party_verify_ms,error
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18406.98,36242,46644,504.96,92.22,87.44,54,17516.84,30169,595.61,5.72,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,19581.28,36186,46434,488.1,100.89,89.64,54,18749.35,30169,517.93,11.62,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18783.17,36237,46644,518.59,95.41,86.22,54,17935.08,30169,559.68,10.93,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18207.15,36188,46432,496.26,100.28,87.49,54,17421.58,30169,498.17,6.51,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18443.66,36190,46434,499.11,97.65,89.54,54,17638.86,30169,513.72,6.5,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18333.59,36184,46433,457.71,92.55,87.95,54,17498.06,30169,552.05,9.57,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18337.93,36187,46434,449.86,96.42,86.18,54,17544.01,30169,506.02,5.46,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18479.53,36185,46433,466.72,93.05,87.71,54,17602.45,30169,582.83,11.92,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18396.61,36186,46434,439.04,94.19,89.36,54,17572.04,30169,535.46,7.26,
bandwidth,gnark,TLS1_3-gnark,10,25,1024,4096,18371.11,36186,46434,442.76,95.8,87.12,54,17557.62,30169,523.12,7.31,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,18830.3,36186,46433,427.92,95.19,80.45,54,18078.06,30169,513.44,6.54,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,18409.07,36185,46434,429.62,101.11,80.29,54,17607.21,30169,550.23,7.46,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,18421.14,36188,46434,455.42,89.44,79.95,54,17655.92,30169,533.04,5.74,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,18962.47,36312,46779,424.95,93.31,106.47,54,18175.38,30169,522.7,6.23,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,18834.62,36187,46433,387.24,91.39,80.46,54,18068.11,30169,530.89,6.21,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,18684.02,36188,46505,428.16,95.66,80.95,54,17875.18,30169,570.36,6.27,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,19733.36,36186,46433,394.79,96.8,80.74,54,18953.56,30169,534.97,10.03,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,19161.23,36184,46434,455.5,97.92,79.33,54,18410.08,30169,516.29,5.57,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,19562.14,36186,46434,457.04,92.26,79.92,54,18719.97,30169,610.95,6.13,
bandwidth,gnark,TLS1_3-gnark,50,25,1024,4096,19354.24,36185,46434,466.77,108.41,79.97,54,18556.43,30169,545.97,6.85,
bandwidth,gnark,TLS1_3-gnark,100,25,1024,4096,19162.52,36186,46434,416.36,90.45,78.08,54,18398.38,30169,537.92,5.44,
bandwidth,gnark,TLS1_3-gnark,100,25,1024,4096,19079.15,36192,46433,488.03,90.04,78.7,54,18303.91,30169,552.95,5.86,
bandwidth,gnark,TLS1_3-gnark,100,25,1024,4096,18828.01,36186,46433,455.75,95.78,80.76,54,18076.58,30169,518.66,5.31,
