group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,reveal_recv_percent_actual,heap_max_bytes
,,1,1000,1024,4096,true,1647,885,2541,29872058,3297305,718126,21201,30597322,3318528,100.0,
,,1,1000,1024,4096,true,1494,813,2312,29872058,3297305,718126,21215,30597322,3318542,100.0,
,,1,1000,1024,4096,true,1404,952,2362,29872044,3297305,718126,21201,30597308,3318528,100.0,
download_sweep,,25,100,1024,1024,true,3954,1443,7091,29872170,3297627,715054,21229,30712141,3927494,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3747,1442,5832,29872128,3297599,715054,21215,30712099,3927452,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3794,1505,6004,29872156,3297571,715054,21201,30712127,3927410,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3937,1493,6098,29872142,3297599,715054,21201,30712113,3927438,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3921,1483,6092,29872142,3297571,715054,21215,30712113,3927424,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3829,1491,5979,29872156,3297613,715054,21229,30712127,3927480,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3809,1481,5971,29872142,3297627,715054,21229,30712113,3927494,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3863,1473,5996,29872170,3297641,715054,21201,30712141,3927480,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3853,1485,6016,29872156,3297557,715054,21201,30712127,3927396,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3868,1533,6092,29872226,3297767,715054,21201,30712197,3927606,99.91386735572782,
download_sweep,,25,100,1024,2048,true,3873,1493,6544,29872114,3297641,716078,21229,30769727,3991564,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3813,1445,6407,29872184,3297627,716078,21215,30769797,3991536,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3866,1464,6679,29872142,3297627,716078,21201,30769755,3991522,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3855,1481,6540,29872156,3297641,716078,21201,30769755,3991536,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3881,1440,6496,29872142,3297543,716078,21229,30769741,3991466,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3834,1602,6671,29872058,3297305,716078,21215,30769671,3991214,99.95423340961098,
download_sweep,,25,100,1024,2048,true,4313,1507,7217,29872240,3297795,716078,21201,30769853,3991690,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3871,1519,6598,29872156,3297571,716078,21201,30769755,3991466,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3911,1488,6545,29872198,3297683,716078,21229,30769811,3991606,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3863,1560,6672,29872156,3297557,716078,21201,30769755,3991452,99.95423340961098,
download_sweep,,25,100,1024,5120,true,3889,1481,7689,29872156,3297571,719150,21201,30942161,4055508,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3848,1521,7689,29872142,3297571,719150,21201,30942147,4055508,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3893,1483,7858,29872156,3297627,719150,21201,30942161,4055564,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3874,1507,7935,29872142,3297627,719150,21215,30942147,4055578,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3839,1514,7961,29872142,3297627,719150,21201,30942147,4055564,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3842,1506,7806,29872156,3297627,719150,21201,30942161,4055564,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3925,1657,7986,29872198,3297697,719150,21201,30942203,4055634,99.98097774396044,
download_sweep,,25,100,1024,5120,true,4051,1480,8134,29872212,3297809,719150,21201,30942217,4055746,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3979,1511,8007,29872184,3297655,719150,21201,30942189,4055592,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3970,1470,8005,29872156,3297585,719150,21201,30942161,4055522,99.98097774396044,
download_sweep,,25,100,1024,10240,true,4127,1470,11134,29872170,3297641,724531,21205,31229614,4119652,99.9903642320293,
download_sweep,,25,100,1024,10240,true,4152,1536,11074,29872184,3297711,724531,21205,31229628,4119736,99.9903642320293,
download_sweep,,25,100,1024,10240,true,4034,1472,11150,29872184,3297669,724531,21205,31229628,4119680,99.9903642320293,
download_sweep,,25,100,1024,10240,true,4087,1877,11735,29872142,3297627,724531,21205,31229586,4119638,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3972,1737,11638,29872156,3297557,724531,21205,31229600,4119582,99.9903642320293,
download_sweep,,25,100,1024,10240,true,5042,1545,12437,29872170,3297627,724531,21205,31229614,4119652,99.9903642320293,
download_sweep,,25,100,1024,10240,true,4123,1495,11165,29872170,3297613,724531,21205,31229614,4119638,99.9903642320293,
download_sweep,,25,100,1024,10240,true,4025,1488,10874,29872198,3297739,724531,21219,31229642,4119778,99.9903642320293,
download_sweep,,25,100,1024,10240,true,4525,1516,11064,29872142,3297627,724531,21205,31229586,4119652,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3943,1507,10189,29872212,3297711,724531,21205,31229656,4119736,99.9903642320293,
download_sweep,,25,100,1024,20480,true,3845,1506,11255,29872058,3297193,735593,21191,31806326,4663862,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3908,1436,11831,29872156,3297697,735593,21205,31806424,4664380,99.99514986904646,
