group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,reveal_recv_percent_actual,heap_max_bytes
,,1,1000,1024,4096,true,662,253,922,29872338,3298089,718126,21215,30598291,3319326,100.0,
,,1,1000,1024,4096,true,509,195,711,29872576,3298257,718140,21201,30598529,3319480,100.0,
,,1,1000,1024,4096,true,430,188,632,29872422,3297893,718126,21215,30598375,3319242,100.0,
download_sweep,,25,100,1024,1024,true,3065,1153,4481,29872450,3298089,715104,21215,30715312,3927942,99.91386735572782,
download_sweep,,25,100,1024,1024,true,2996,1142,4393,29872450,3298075,715054,21215,30715312,3927928,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3019,1122,4402,29872450,3298075,715054,21215,30715326,3927928,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3070,1114,4432,29872478,3298215,715068,21215,30715340,3928068,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3009,1168,4427,29872590,3298383,715054,21215,30715452,3928236,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3007,1153,4403,29872450,3298075,715118,21215,30715312,3927928,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3057,1148,4454,29872450,3298089,715054,21215,30715312,3927942,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3064,1163,4478,29872492,3298215,715118,21215,30715354,3928068,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3020,1141,4399,29872576,3298383,715054,21215,30715438,3928236,99.91386735572782,
download_sweep,,25,100,1024,1024,true,3012,1159,4413,29872576,3298383,715054,21215,30715438,3928236,99.91386735572782,
download_sweep,,25,100,1024,2048,true,3004,1141,4502,29872450,3298075,716381,21215,30773964,3991984,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3029,1104,4478,29872450,3298089,716092,21215,30773964,3991998,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3035,1148,4633,29872422,3298131,716092,21215,30773964,3992040,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3043,1139,4552,29872548,3298411,716381,21215,30774076,3992320,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3013,1101,4467,29872450,3298089,716381,21215,30773964,3991998,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3020,1148,4599,29872450,3298089,716142,21215,30773964,3991998,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3059,1171,4608,29872436,3298117,716381,21215,30773950,3992026,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3048,1186,4605,29872450,3298075,716092,21215,30773978,3991984,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3071,1178,4601,29872450,3298075,716078,21215,30773964,3991984,99.95423340961098,
download_sweep,,25,100,1024,2048,true,3046,1125,4541,29872450,3298089,716381,21215,30773978,3991998,99.95423340961098,
download_sweep,,25,100,1024,5120,true,3029,1145,4887,29872450,3298075,719453,21215,30949442,4056026,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3124,1142,4955,29872422,3298089,719150,21215,30949400,4056040,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3114,1138,4964,29872408,3298103,719200,21215,30949386,4056054,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3057,1155,4920,29872436,3298089,719150,21215,30949414,4056040,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3033,1112,4833,29872436,3298145,719164,21215,30949428,4056096,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3046,1183,4935,29872422,3298145,719164,21215,30949400,4056096,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3030,1119,4874,29872422,3298131,719150,21215,30949400,4056082,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3045,1112,4897,29872436,3298075,719150,21215,30949414,4056026,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3042,1134,4921,29872408,3298075,719150,21215,30949386,4056026,99.98097774396044,
download_sweep,,25,100,1024,5120,true,3171,1114,4945,29872436,3298075,719453,21215,30949414,4056026,99.98097774396044,
download_sweep,,25,100,1024,10240,true,3022,1113,5330,29872422,3298131,724531,21219,31241949,4120142,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3029,1161,5478,29872408,3298145,724531,21219,31241935,4120156,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3109,1135,5503,29872422,3298089,724531,21205,31241949,4120086,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3075,1137,5498,29872436,3298061,724545,21219,31241963,4120072,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3066,1144,5629,29872408,3298075,724531,21219,31241935,4120086,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3073,1092,5534,29872436,3298075,724531,21205,31241963,4120072,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3039,1164,5539,29872436,3298075,724531,21219,31241963,4120086,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3009,1129,5389,29872422,3298131,724531,21219,31241949,4120142,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3047,1118,5481,29872436,3298089,724531,21219,31241963,4120100,99.9903642320293,
download_sweep,,25,100,1024,10240,true,3035,1130,5453,29872436,3298089,724581,21219,31241963,4120100,99.9903642320293,
download_sweep,,25,100,1024,20480,true,3083,1195,6322,29872422,3298089,735928,21219,31829027,4664758,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3048,1169,5869,29872436,3298075,735657,21219,31829041,4664744,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3044,1195,6002,29872436,3298075,735928,21219,31829041,4664744,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3087,1170,6210,29872422,3298061,735643,21219,31829027,4664730,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3375,1154,6294,29872422,3298075,735928,21219,31829027,4664744,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3294,1229,6560,29872436,3298089,735928,21219,31829041,4664758,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3035,1180,6148,29872422,3298131,735593,21219,31829027,4664800,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3366,1181,6297,29872394,3298075,735643,21219,31828999,4664744,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3070,1157,5991,29872422,3298075,735643,21219,31829027,4664744,99.99514986904646,
download_sweep,,25,100,1024,20480,true,3511,1139,6569,29872436,3298089,735593,21219,31829041,4664758,99.99514986904646,
download_sweep,,25,100,1024,30720,true,3632,1159,7654,29872436,3298089,745879,21219,32414141,4920968,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3137,1164,7105,29872436,3298089,745879,21219,32414141,4920968,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3524,1221,7491,29872436,3298173,745929,21219,32414141,4921052,99.99675934927734,
download_sweep,,25,100,1024,30720,true,5025,1240,10304,29872436,3298075,746228,21219,32414183,4920982,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3058,1143,6994,29872436,3298075,745943,21219,32414141,4920954,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3470,1176,7363,29872408,3298159,746214,21219,32414113,4921038,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3447,1144,7277,29872422,3298089,746214,21219,32414127,4920968,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3841,1173,9985,29872422,3298145,745929,21219,32414127,4921024,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3191,1149,7358,29872436,3298061,746214,21219,32414141,4920940,99.99675934927734,
download_sweep,,25,100,1024,30720,true,3128,1178,6948,29872408,3298075,745879,21219,32414113,4920954,99.99675934927734,
