group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,1905,1086,3000,29872058,3297333,718126,21201,30597322,3318556,
,,1,1000,1024,4096,true,1943,1032,2980,29872058,3297333,718126,21215,30597322,3318570,
,,1,1000,1024,4096,true,1988,996,2989,29872058,3297333,718126,21215,30597322,3318570,
latency_sweep,,10,100,1024,2048,true,3832,1256,6607,29872254,3297879,716078,21201,30769853,3991760,
latency_sweep,,10,100,1024,2048,true,3908,1286,6632,29872114,3297627,716078,21229,30769727,3991550,
latency_sweep,,10,100,1024,2048,true,4007,1293,7074,29872254,3297879,716078,21201,30769867,3991774,
latency_sweep,,10,100,1024,2048,true,4594,1453,8249,29872240,3297753,716078,21215,30769839,3991662,
latency_sweep,,10,100,1024,2048,true,4207,1560,7317,29872212,3297697,716092,21215,30769839,3991606,
latency_sweep,,10,100,1024,2048,true,4130,1251,6865,29872156,3297697,716078,21201,30769755,3991578,
latency_sweep,,10,100,1024,2048,true,4003,1284,6764,29872100,3297711,716078,21229,30769713,3991634,
latency_sweep,,10,100,1024,2048,true,4051,2188,7509,29872198,3297711,716078,21201,30769811,3991606,
latency_sweep,,10,100,1024,2048,true,4253,1317,7080,29872212,3297711,716078,21215,30769825,3991620,
latency_sweep,,10,100,1024,2048,true,4229,1236,6876,29872240,3297739,716078,21201,30769853,3991634,
latency_sweep,,25,100,1024,2048,true,4219,1532,7549,29872184,3297627,716078,21201,30769797,3991522,
latency_sweep,,25,100,1024,2048,true,4118,1532,7258,29872212,3297739,716078,21215,30769811,3991648,
latency_sweep,,25,100,1024,2048,true,4215,1531,7233,29872142,3297571,716078,21201,30769755,3991466,
latency_sweep,,25,100,1024,2048,true,4098,1500,7236,29872184,3297655,716078,21201,30769797,3991550,
latency_sweep,,25,100,1024,2048,true,4215,1515,7313,29872198,3297683,716078,21201,30769811,3991578,
latency_sweep,,25,100,1024,2048,true,4157,1570,7387,29872198,3297683,716078,21215,30769811,3991592,
latency_sweep,,25,100,1024,2048,true,4054,1511,7042,29872184,3297739,716078,21201,30769797,3991634,
latency_sweep,,25,100,1024,2048,true,4046,1481,7045,29872170,3297599,716101,21201,30769792,3991494,
latency_sweep,,25,100,1024,2048,true,4107,1513,7128,29872240,3297781,716078,21201,30769853,3991676,
latency_sweep,,25,100,1024,2048,true,4119,1577,7299,29872142,3297599,716078,21201,30769741,3991494,
latency_sweep,,50,100,1024,2048,true,4302,1979,7822,29872142,3297543,716078,21229,30769755,3991466,
latency_sweep,,50,100,1024,2048,true,4212,2030,7896,29872142,3297543,716078,21229,30769755,3991466,
latency_sweep,,50,100,1024,2048,true,4440,1952,8050,29872156,3297543,716078,21215,30769769,3991452,
latency_sweep,,50,100,1024,2048,true,4486,1996,8417,29872184,3297585,716078,21215,30769783,3991494,
latency_sweep,,50,100,1024,2048,true,4284,2012,7882,29872156,3297543,716078,21229,30769769,3991466,
latency_sweep,,50,100,1024,2048,true,4348,2019,7939,29872226,3297627,716078,21229,30769839,3991550,
latency_sweep,,50,100,1024,2048,true,4463,1963,8096,29872170,3297571,716078,21215,30769783,3991480,
latency_sweep,,50,100,1024,2048,true,4413,2034,8137,29872170,3297571,716078,21229,30769783,3991494,
latency_sweep,,50,100,1024,2048,true,4298,2149,8021,29872142,3297543,716078,21215,30769741,3991452,
latency_sweep,,50,100,1024,2048,true,4359,1934,7842,29872198,3297669,716078,21215,30769811,3991578,
latency_sweep,,75,100,1024,2048,true,4524,2527,8604,29872142,3297543,716078,21229,30769755,3991466,
latency_sweep,,75,100,1024,2048,true,4700,2491,8905,29872170,3297571,716078,21201,30769783,3991466,
latency_sweep,,75,100,1024,2048,true,4780,2507,8860,29872170,3297571,716078,21201,30769783,3991466,
latency_sweep,,75,100,1024,2048,true,4618,2475,8755,29872086,3297515,716078,21201,30769699,3991410,
latency_sweep,,75,100,1024,2048,true,4635,2536,8685,29872184,3297627,716078,21215,30769797,3991536,
latency_sweep,,75,100,1024,2048,true,4632,2503,8749,29872100,3297487,716078,21201,30769713,3991368,
latency_sweep,,75,100,1024,2048,true,4672,2497,8781,29872170,3297571,716078,21201,30769783,3991466,
latency_sweep,,75,100,1024,2048,true,4561,2495,8674,29872142,3297529,716078,21229,30769755,3991452,
latency_sweep,,75,100,1024,2048,true,4534,2538,8622,29872184,3297543,716078,21201,30769797,3991438,
latency_sweep,,75,100,1024,2048,true,4598,2531,9006,29872156,3297543,716078,21215,30769769,3991452,
latency_sweep,,100,100,1024,2048,true,5041,2935,9656,29872156,3297599,716078,21201,30769769,3991494,
latency_sweep,,100,100,1024,2048,true,4989,2998,9705,29872142,3297543,716092,21215,30769755,3991452,
latency_sweep,,100,100,1024,2048,true,4880,2978,9502,29872142,3297543,716078,21215,30769755,3991452,
latency_sweep,,100,100,1024,2048,true,4924,2945,9561,29872156,3297571,716078,21201,30769769,3991466,
latency_sweep,,100,100,1024,2048,true,5079,3096,9765,29872142,3297557,716078,21201,30769755,3991452,
latency_sweep,,100,100,1024,2048,true,5183,2958,9768,29872156,3297571,716078,21201,30769769,3991466,
latency_sweep,,100,100,1024,2048,true,4920,3125,9710,29872072,3297417,716078,21201,30769685,3991312,
latency_sweep,,100,100,1024,2048,true,5011,2917,9650,29872170,3297585,716092,21201,30769797,3991480,
latency_sweep,,100,100,1024,2048,true,5013,3106,9929,29872156,3297557,716078,21215,30769769,3991466,
latency_sweep,,100,100,1024,2048,true,4947,2994,9584,29872142,3297557,716078,21215,30769755,3991466,
latency_sweep,,150,100,1024,2048,true,5515,4113,11358,29872100,3297501,716078,21201,30769727,3991424,
latency_sweep,,150,100,1024,2048,true,5569,3889,11277,29872086,3297501,716078,21201,30769727,3991424,
latency_sweep,,150,100,1024,2048,true,5465,3875,11265,29872100,3297501,716078,21201,30769741,3991424,
latency_sweep,,150,100,1024,2048,true,5534,4024,11360,29872100,3297501,716078,21201,30769727,3991424,
latency_sweep,,150,100,1024,2048,true,5340,3931,11108,29872100,3297501,716078,21215,30769741,3991438,
latency_sweep,,150,100,1024,2048,true,5468,4011,11211,29872086,3297501,716092,21201,30769727,3991424,
latency_sweep,,150,100,1024,2048,true,5554,4000,11478,29872086,3297501,716078,21201,30769727,3991424,
latency_sweep,,150,100,1024,2048,true,5542,4030,11360,29872086,3297487,716078,21201,30769727,3991410,
latency_sweep,,150,100,1024,2048,true,5215,4015,11096,29872086,3297487,716078,21215,30769727,3991424,
latency_sweep,,150,100,1024,2048,true,5517,3889,11205,29872086,3297459,716078,21201,30769727,3991382,
latency_sweep,,200,100,1024,2048,true,6043,4957,12819,29872058,3297403,716106,21229,30769699,3991326,
latency_sweep,,200,100,1024,2048,true,6126,4912,12886,29872072,3297403,716106,21243,30769713,3991340,
latency_sweep,,200,100,1024,2048,true,6035,4920,12953,29872086,3297487,716106,21257,30769713,3991438,
latency_sweep,,200,100,1024,2048,true,6092,4863,12888,29872086,3297417,716106,21229,30769727,3991340,
latency_sweep,,200,100,1024,2048,true,6187,5007,13014,29872058,3297417,716106,21229,30769699,3991340,
latency_sweep,,200,100,1024,2048,true,6177,5096,13196,29872072,3297375,716120,21243,30769727,3991312,
latency_sweep,,200,100,1024,2048,true,6166,4812,12868,29872058,3297389,716106,21229,30769699,3991312,
latency_sweep,,200,100,1024,2048,true,5972,4872,12704,29872072,3297403,716106,21229,30769713,3991326,
latency_sweep,,200,100,1024,2048,true,6372,4924,13332,29872086,3297487,716092,21257,30769713,3991438,
latency_sweep,,200,100,1024,2048,true,6182,5007,13095,29872086,3297487,716106,21243,30769727,3991424,
