group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,547,241,795,29872646,3298425,718140,21201,30598599,3319648,
,,1,1000,1024,4096,true,503,223,734,29872492,3298243,718126,21201,30598445,3319606,
,,1,1000,1024,4096,true,499,202,716,29872534,3298187,718126,21201,30598487,3319718,
latency_sweep,,10,100,1024,2048,true,2832,741,3949,29872786,3298985,716078,21215,30774314,3992894,
latency_sweep,,10,100,1024,2048,true,2936,767,4105,29872758,3298985,716078,21215,30774286,3992894,
latency_sweep,,10,100,1024,2048,true,2893,748,4018,29872940,3299489,716381,21215,30774468,3993398,
latency_sweep,,10,100,1024,2048,true,2908,764,4058,29872800,3298985,716078,21215,30774328,3992894,
latency_sweep,,10,100,1024,2048,true,2857,763,3953,29872870,3298971,716078,21229,30774398,3992894,
latency_sweep,,10,100,1024,2048,true,2867,753,4001,29872800,3298985,716078,21215,30774328,3992894,
latency_sweep,,10,100,1024,2048,true,3282,742,4443,29872940,3299531,716078,21215,30774468,3993440,
latency_sweep,,10,100,1024,2048,true,2830,739,3927,29872772,3298971,716078,21229,30774300,3992894,
latency_sweep,,10,100,1024,2048,true,2853,743,3932,29872730,3298831,716078,21229,30774258,3992754,
latency_sweep,,10,100,1024,2048,true,2856,746,3947,29872786,3299111,716078,21229,30774314,3993034,
latency_sweep,,25,100,1024,2048,true,3015,1145,4582,29872590,3298397,716092,21215,30774118,3992306,
latency_sweep,,25,100,1024,2048,true,3067,1133,4606,29872492,3298215,716078,21215,30774006,3992124,
latency_sweep,,25,100,1024,2048,true,3032,1117,4533,29872464,3298117,716092,21215,30773978,3992026,
latency_sweep,,25,100,1024,2048,true,3063,1111,4617,29872492,3298201,716078,21215,30774006,3992110,
latency_sweep,,25,100,1024,2048,true,3058,1108,4573,29872492,3298201,716078,21215,30774006,3992110,
latency_sweep,,25,100,1024,2048,true,3090,1121,4587,29872450,3298089,716381,21215,30773964,3991998,
latency_sweep,,25,100,1024,2048,true,3028,1136,4545,29872450,3298075,716092,21215,30773964,3991984,
latency_sweep,,25,100,1024,2048,true,3060,1131,4566,29872450,3298075,716092,21215,30773964,3991984,
latency_sweep,,25,100,1024,2048,true,3059,1122,4571,29872450,3298075,716078,21215,30773964,3991984,
latency_sweep,,25,100,1024,2048,true,3025,1144,4566,29872590,3298397,716078,21215,30774104,3992306,
latency_sweep,,50,100,1024,2048,true,3548,1665,5721,29872282,3297935,716381,21215,30773796,3991844,
latency_sweep,,50,100,1024,2048,true,3651,1727,5977,29872310,3297963,716381,21201,30773824,3991858,
latency_sweep,,50,100,1024,2048,true,3570,1743,5825,29872464,3298103,716092,21201,30773978,3991998,
latency_sweep,,50,100,1024,2048,true,3544,1737,5805,29872212,3297837,716128,21201,30773726,3991732,
latency_sweep,,50,100,1024,2048,true,3573,1674,5819,29872058,3297711,716092,21215,30773572,3991620,
latency_sweep,,50,100,1024,2048,true,3545,1669,5715,29872324,3297865,716078,21215,30773838,3991774,
latency_sweep,,50,100,1024,2048,true,3624,1678,5806,29872296,3297921,716078,21201,30773810,3991816,
latency_sweep,,50,100,1024,2048,true,3668,1697,5873,29872324,3297935,716128,21215,30773838,3991844,
latency_sweep,,50,100,1024,2048,true,3539,1739,5798,29872352,3297907,716078,21201,30773866,3991802,
latency_sweep,,50,100,1024,2048,true,3568,1735,5785,29872338,3297893,716092,21201,30773866,3991788,
latency_sweep,,75,100,1024,2048,true,4229,2282,7167,29872338,3297907,716092,21215,30773852,3991816,
latency_sweep,,75,100,1024,2048,true,4327,2281,7236,29872030,3297669,716064,21201,30773530,3991564,
latency_sweep,,75,100,1024,2048,true,4167,2344,7144,29872086,3297697,716381,21201,30773600,3991592,
latency_sweep,,75,100,1024,2048,true,4201,2347,7234,29872072,3297599,716078,21215,30773586,3991508,
latency_sweep,,75,100,1024,2048,true,4197,2321,7157,29872184,3297753,716078,21201,30773698,3991648,
latency_sweep,,75,100,1024,2048,true,4232,2326,7207,29872044,3297711,716092,21201,30773572,3991606,
latency_sweep,,75,100,1024,2048,true,4154,2370,7240,29872058,3297697,716128,21201,30773572,3991592,
latency_sweep,,75,100,1024,2048,true,4191,2318,7193,29872016,3297613,716078,21215,30773530,3991522,
latency_sweep,,75,100,1024,2048,true,4216,2269,7137,29872296,3297935,716078,21215,30773810,3991844,
latency_sweep,,75,100,1024,2048,true,4091,2332,7021,29872044,3297571,716078,21215,30773558,3991480,
latency_sweep,,100,100,1024,2048,true,4830,2899,8464,29872030,3297669,716078,21215,30773544,3991578,
