group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,reveal_recv_percent_actual,heap_max_bytes
,,1,1000,1024,4096,true,1587,742,2337,29872030,3297291,718126,21201,30597294,3318514,100.0,
,,1,1000,1024,4096,true,1356,819,2179,29872044,3297305,718126,21215,30597308,3318542,100.0,
,,1,1000,1024,4096,true,1445,778,2227,29872016,3297305,718126,21215,30597280,3318542,100.0,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3698,1453,6227,29872156,3297655,716078,21201,30769769,3991550,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3789,1535,6429,29872142,3297585,716078,21201,30769755,3991480,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3803,1479,6382,29872142,3297627,716078,21215,30769755,3991536,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3780,1430,6243,29872128,3297599,716078,21229,30769741,3991522,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3744,1480,6185,29872156,3297627,716078,21201,30769769,3991522,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3776,1518,6365,29872142,3297557,716078,21215,30769741,3991466,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3801,1444,6348,29872156,3297571,716078,21215,30769769,3991480,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3834,1416,6300,29872142,3297613,716078,21229,30769755,3991536,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3839,1472,6349,29872142,3297641,716078,21215,30769741,3991550,99.95423340961098,
proof_sweep,reveal_100pct,25,100,1024,2048,true,3735,1422,6213,29872128,3297655,716078,21229,30769727,3991578,99.95423340961098,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3763,1532,5582,29872142,3297613,716092,21229,30660692,3799368,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3765,1478,5527,29872142,3297613,716078,21215,30660678,3799354,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3834,1481,5613,29872170,3297627,716078,21215,30660706,3799368,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3792,1473,5547,29872170,3297613,716078,21229,30660706,3799368,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3852,1468,5597,29872142,3297599,716078,21229,30660678,3799354,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3750,1440,5482,29872156,3297627,716078,21201,30660692,3799354,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3769,1456,5507,29872170,3297669,716078,21215,30660706,3799410,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3743,1498,5523,29872086,3297655,716078,21215,30660622,3799396,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3782,1486,5546,29872142,3297571,716078,21201,30660678,3799298,9.977116704805493,
proof_sweep,reveal_10pct,25,100,1024,2048,true,3829,1468,5581,29872156,3297571,716078,21201,30660692,3799298,9.977116704805493,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3793,1559,5743,29872156,3297627,716078,21201,30673241,3863410,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3915,1438,5744,29872212,3297697,716078,21215,30673297,3863494,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3800,1457,5663,29872142,3297641,713969,21215,30673227,3863438,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3792,1438,5612,29872142,3297641,716078,21215,30673227,3863438,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3746,1447,5572,29872142,3297613,716078,21215,30673227,3863410,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3798,1457,5638,29872142,3297557,716078,21201,30673227,3863340,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3888,1556,5835,29872170,3297627,716078,21229,30673255,3863438,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3700,1448,5539,29872142,3297599,716078,21201,30673227,3863382,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3744,1459,5586,29872142,3297599,716078,21215,30673227,3863396,20.0,
proof_sweep,reveal_20pct,25,100,1024,2048,true,3787,1452,5634,29872142,3297571,716078,21229,30672364,3863382,20.0,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3809,1440,5636,29872142,3297627,716078,21215,30684714,3863424,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3766,1457,5628,29872128,3297585,716078,21215,30684700,3863382,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3855,1461,5732,29872170,3297627,716078,21215,30684742,3863424,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3935,1489,5824,29872142,3297613,716078,21229,30684714,3863424,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3719,1453,5581,29872142,3297557,716078,21229,30684714,3863368,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3718,1465,5597,29872156,3297613,716078,21201,30684728,3863396,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3817,1483,5713,29872142,3297641,716078,21201,30684714,3863424,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3834,1446,5685,29872142,3297627,716078,21215,30684714,3863424,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3753,1538,5678,29872142,3297613,716078,21215,30684714,3863410,29.977116704805493,
proof_sweep,reveal_30pct,25,100,1024,2048,true,3785,1465,5693,29872156,3297571,715375,21215,30684728,3863368,29.977116704805493,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3768,1482,5669,29872142,3297613,716078,21229,30697015,3863424,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3892,1437,5759,29872170,3297599,716078,21229,30697043,3863410,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3880,1491,5812,29872170,3297641,716078,21215,30697043,3863438,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3839,1424,5669,29872142,3297557,716078,21229,30697015,3863368,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,4136,2137,6711,29872170,3297683,716078,21215,30697043,3863480,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3818,1520,5751,29872156,3297627,716078,21201,30697029,3863410,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,4192,1512,6111,29872198,3297711,716078,21215,30697071,3863508,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3805,1432,5644,29872156,3297641,716078,21201,30696166,3863424,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3756,1512,5709,29872184,3297627,716078,21201,30697057,3863410,40.0,
proof_sweep,reveal_40pct,25,100,1024,2048,true,3815,1454,5666,29872156,3297571,716078,21201,30697029,3863354,40.0,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3776,1493,5891,29872142,3297613,716078,21215,30709617,3927466,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3791,1460,5855,29872156,3297627,716078,21201,30709631,3927466,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3753,1465,5836,29872142,3297627,716078,21201,30709617,3927466,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3761,1482,5844,29872156,3297627,716078,21201,30709631,3927466,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3826,1460,5903,29872156,3297557,716078,21201,30709631,3927396,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3801,1443,5886,29872142,3297613,716078,21229,30709617,3927480,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3864,1427,5896,29872170,3297627,716078,21229,30709645,3927494,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3785,1459,5889,29872086,3297613,716078,21229,30709561,3927480,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3783,1452,5841,29872100,3297571,716078,21229,30709575,3927438,49.97711670480549,
proof_sweep,reveal_50pct,25,100,1024,2048,true,3825,1431,5917,29872142,3297627,716078,21201,30709617,3927466,49.97711670480549,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3779,1456,5859,29872170,3297641,716078,21215,30721083,3927494,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3803,1471,5904,29872128,3297613,716078,21229,30721041,3927480,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3773,1463,5862,29872198,3297725,716078,21215,30721111,3927578,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3749,1432,5789,29872128,3297585,716078,21215,30721041,3927438,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3776,1441,5850,29872170,3297627,716078,21229,30721083,3927494,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3763,1447,5881,29872156,3297641,716078,21201,30721069,3927480,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3843,1493,5985,29872156,3297641,716078,21201,30721069,3927480,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3726,1463,5820,29872142,3297543,716078,21229,30721055,3927410,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3853,1444,5935,29872142,3297571,716078,21229,30721055,3927438,60.0,
proof_sweep,reveal_60pct,25,100,1024,2048,true,3816,1433,5897,29872142,3297585,716078,21215,30721055,3927438,60.0,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3787,1510,5951,29872184,3297641,716078,21201,30733397,3927480,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3755,1545,5932,29872072,3297571,716078,21229,30733285,3927438,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3740,1431,5793,29872100,3297571,716078,21229,30733363,3927438,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3798,1535,5963,29872142,3297627,716078,21215,30733355,3927480,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3879,1451,6002,29872184,3297641,716078,21201,30733447,3927480,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3896,1462,6162,29872156,3297627,716078,21201,30733419,3927466,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3896,1451,6047,29872170,3297627,716078,21215,30733383,3927480,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3868,1441,5955,29872156,3297571,716078,21201,30733419,3927410,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3849,1476,6011,29872156,3297627,716078,21201,30733419,3927466,69.9771167048055,
proof_sweep,reveal_70pct,25,100,1024,2048,true,3911,1450,6031,29872170,3297613,716078,21201,30733433,3927452,69.9771167048055,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3828,1459,5989,29872212,3297697,716078,21201,30745776,3927536,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3834,1428,5914,29872142,3297613,716078,21215,30745706,3927466,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3830,1471,5979,29872198,3297669,716078,21215,30745762,3927522,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3918,1427,6024,29872156,3297613,716078,21229,30745720,3927480,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3931,1532,6199,29872198,3297711,716078,21229,30745762,3927578,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3892,1452,6143,29872184,3297627,716078,21201,30745748,3927466,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3825,1484,6091,29872142,3297585,716078,21201,30745706,3927424,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3992,1426,6146,29872142,3297613,716078,21215,30745706,3927466,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3974,1410,6118,29872128,3297599,716078,21215,30745692,3927452,80.0,
proof_sweep,reveal_80pct,25,100,1024,2048,true,3814,1479,6034,29872142,3297571,716078,21201,30745706,3927410,80.0,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3872,1472,6071,29872184,3297641,716078,21201,30757185,3927480,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3974,1512,6245,29872156,3297627,716078,21201,30757157,3927466,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3928,1464,6129,29872156,3297599,716078,21201,30757157,3927438,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3979,1460,6209,29872170,3297655,716078,21201,30757171,3927494,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3971,1461,6262,29872170,3297613,716078,21215,30757171,3927466,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3970,1448,6179,29872198,3297753,716078,21201,30757199,3927592,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3901,1454,6116,29872184,3297613,716078,21201,30757185,3927452,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3927,1598,6284,29872184,3297613,716078,21201,30757185,3927452,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3920,1486,6194,29872142,3297641,716078,21201,30757143,3927480,89.9771167048055,
proof_sweep,reveal_90pct,25,100,1024,2048,true,3900,1456,6098,29872156,3297585,716078,21201,30757157,3927424,89.9771167048055,
