group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_generate_zk_proof,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes,time_zk_verify,time_verify
,,1,1000,1024,4096,true,3097,1527,2312,6938,33561340,3296657,729517,21101,34589615,3990330,,2283,3862
,,1,1000,1024,4096,true,2457,1188,2188,5834,33561340,3296657,729517,21113,34589603,3990342,,2182,3354
,,1,1000,1024,4096,true,2063,945,1652,4661,33561340,3296657,729517,21113,34589615,3990342,,1651,2574
bandwidth,,25,10,1024,4096,true,29526,1983,1756,33266,33561688,3297305,729517,21101,34589951,3990978,,1740,3699
bandwidth,,25,10,1024,4096,true,29563,1966,1893,33423,33561712,3297497,729517,21113,34589987,3991182,,1883,3829
bandwidth,,25,10,1024,4096,true,29567,1999,1723,33289,33561688,3297497,729517,21113,34589963,3991194,,1707,3681
bandwidth,,25,10,1024,4096,true,29500,2010,1628,33138,33561724,3297533,729517,21113,34590011,3991230,,1613,3602
bandwidth,,25,10,1024,4096,true,29497,2012,1719,33229,33561736,3297533,729517,21113,34590023,3991230,,1704,3699
bandwidth,,25,10,1024,4096,true,29450,1982,1620,33053,33561688,3297521,728656,21113,34589975,3991218,,1607,3565
bandwidth,,25,10,1024,4096,true,29421,1990,1615,33028,33561712,3297509,728656,21113,34589987,3991194,,1598,3560
bandwidth,,25,10,1024,4096,true,29384,2100,1556,33041,33561724,3297449,729517,21113,34589999,3991134,,1544,3615
bandwidth,,25,10,1024,4096,true,29589,1952,1668,33209,33561688,3297449,728656,21113,34589951,3991134,,1654,3583
bandwidth,,25,10,1024,4096,true,29496,2053,1615,33165,33561820,3297461,729517,21101,34590083,3991134,,1605,3634
bandwidth,,25,50,1024,4096,true,6893,1693,1630,10217,33561460,3296969,729529,21113,34589771,3990678,,1610,3284
bandwidth,,25,50,1024,4096,true,6931,1727,1627,10287,33561460,3296957,728668,21113,34589771,3990666,,1613,3316
bandwidth,,25,50,1024,4096,true,6943,1738,1666,10348,33561460,3296969,729529,21113,34589759,3990678,,1651,3363
bandwidth,,25,50,1024,4096,true,6835,1685,1652,10173,33561460,3296957,728668,21113,34589771,3990666,,1639,3293
bandwidth,,25,50,1024,4096,true,6970,1683,1620,10275,33561460,3296969,726946,21113,34589771,3990678,,1605,3270
bandwidth,,25,50,1024,4096,true,6999,1719,1743,10462,33561460,3296969,729529,21113,34589759,3990678,,1729,3427
bandwidth,,25,50,1024,4096,true,7002,1638,1918,10558,33561460,3296957,729529,21113,34589759,3990666,,1904,3522
bandwidth,,25,50,1024,4096,true,6990,1823,1718,10532,33561484,3297065,728668,21113,34589795,3990774,,1703,3507
bandwidth,,25,50,1024,4096,true,7023,1610,1776,10409,33561460,3296969,729529,21113,34589771,3990678,,1766,3355
bandwidth,,25,50,1024,4096,true,7132,1675,1635,10444,33561472,3296945,729529,21113,34589783,3990654,,1620,3278
bandwidth,,25,100,1024,4096,true,4186,1579,1647,7412,33561472,3296933,729517,21101,34589735,3990606,,1634,3190
bandwidth,,25,100,1024,4096,true,4202,1601,1594,7397,33561484,3296969,729517,21101,34589759,3990642,,1579,3158
bandwidth,,25,100,1024,4096,true,4091,1640,1674,7406,33561484,3296957,729529,21101,34589771,3990630,,1662,3283
bandwidth,,25,100,1024,4096,true,4182,1602,1635,7419,33561460,3296933,729517,21113,34589723,3990618,,1622,3201
bandwidth,,25,100,1024,4096,true,4156,1603,1667,7426,33561460,3296837,729517,21101,34589723,3990510,,1653,3236
bandwidth,,25,100,1024,4096,true,4221,1639,1625,7486,33561484,3296957,728656,21101,34589747,3990630,,1614,3232
bandwidth,,25,100,1024,4096,true,4264,1614,1623,7502,33561460,3296909,729517,21113,34589735,3990594,,1606,3202
bandwidth,,25,100,1024,4096,true,4113,1689,1603,7405,33561484,3296957,729529,21101,34589759,3990630,,1584,3251
bandwidth,,25,100,1024,4096,true,4194,1574,1662,7431,33561484,3296921,729517,21101,34589747,3990594,,1646,3197
bandwidth,,25,100,1024,4096,true,4167,1602,1700,7469,33561484,3296969,728656,21101,34589759,3990642,,1686,3265
bandwidth,,25,250,1024,4096,true,2597,1675,1664,5938,33561340,3296657,729517,21101,34589615,3990330,,1654,3307
bandwidth,,25,250,1024,4096,true,2645,1638,1672,5956,33561364,3296681,728656,21101,34589639,3990354,,1658,3269
bandwidth,,25,250,1024,4096,true,2509,1625,1682,5817,33561340,3296645,729517,21113,34589603,3990330,,1670,3270
bandwidth,,25,250,1024,4096,true,2574,1656,1695,5926,33561412,3296753,729517,21101,34589675,3990426,,1678,3314
bandwidth,,25,250,1024,4096,true,2487,1611,1715,5813,33561340,3296681,729517,21101,34589615,3990354,,1700,3289
bandwidth,,25,250,1024,4096,true,2480,1626,1664,5771,33561340,3296633,729517,21113,34589615,3990318,,1646,3255
bandwidth,,25,250,1024,4096,true,2446,1682,1609,5737,33561352,3296657,729517,21101,34589615,3990330,,1596,3256
bandwidth,,25,250,1024,4096,true,2517,1599,1674,5791,33561340,3296633,729517,21113,34589615,3990318,,1662,3238
bandwidth,,25,250,1024,4096,true,2449,1615,1724,5789,33561364,3296669,729517,21101,34589639,3990342,,1710,3301
bandwidth,,25,250,1024,4096,true,2504,1820,1600,5926,33561340,3296657,729517,21113,34589615,3990342,,1584,3384
bandwidth,,25,1000,1024,4096,true,2096,1570,1693,5359,33561328,3296645,729517,21101,34589603,3990318,,1679,3225
bandwidth,,25,1000,1024,4096,true,2002,1587,1600,5190,33561340,3296633,728656,21113,34589615,3990318,,1587,3151
bandwidth,,25,1000,1024,4096,true,2025,1635,1708,5368,33561340,3296621,729517,21113,34589603,3990306,,1691,3302
bandwidth,,25,1000,1024,4096,true,2053,1552,1651,5258,33561340,3296657,729517,21113,34589603,3990342,,1640,3168
bandwidth,,25,1000,1024,4096,true,2052,1583,1819,5455,33561340,3296621,726934,21101,34589603,3990294,,1808,3367
bandwidth,,25,1000,1024,4096,true,2251,1607,1697,5557,33561340,3296633,729517,21113,34589615,3990318,,1684,3274
bandwidth,,25,1000,1024,4096,true,2078,1633,1645,5358,33561340,3296633,729517,21113,34589615,3990318,,1632,3242
bandwidth,,25,1000,1024,4096,true,2003,1634,1678,5316,33561340,3296633,728656,21113,34589615,3990318,,1662,3272
bandwidth,,25,1000,1024,4096,true,2007,1645,1594,5247,33561340,3296621,729529,21113,34589627,3990306,,1576,3202
bandwidth,,25,1000,1024,4096,true,2064,1664,1643,5371,33561340,3296657,729517,21113,34589615,3990342,,1625,3268
download_size,,10,200,2048,1024,true,3836,1403,973,6214,46700836,3360873,1275712,22149,48161507,3991546,,968,2343
download_size,,10,200,2048,1024,true,3959,1484,927,6370,46700896,3360897,1276573,22149,48161567,3991570,,919,2418
download_size,,10,200,2048,1024,true,3804,1401,924,6131,46700872,3360861,1276573,22149,48161543,3991534,,919,2294
download_size,,10,200,2048,1024,true,3764,1383,913,6062,46700824,3360897,1276573,22149,48161495,3991570,,906,2304
download_size,,10,200,2048,1024,true,3778,1519,889,6187,46700896,3360897,1274851,22149,48161579,3991570,,880,2371
download_size,,10,200,2048,1024,true,3802,1470,945,6218,46700920,3360849,1275712,22149,48161591,3991522,,937,2382
download_size,,10,200,2048,1024,true,3812,1389,908,6109,46700920,3360945,1276573,22149,48161591,3991618,,900,2302
download_size,,10,200,2048,1024,true,3787,1445,874,6107,46700896,3360873,1276573,22149,48161579,3991546,,866,2279
download_size,,10,200,2048,1024,true,3905,1472,927,6305,46700872,3360909,1276573,22149,48161543,3991582,,923,2363
download_size,,10,200,2048,1024,true,3890,1475,859,6225,46700896,3360885,1276573,22149,48161579,3991558,,853,2298
download_size,,10,200,2048,2048,true,3809,1436,940,6185,46700824,3360873,1277597,22149,48219731,3991546,,935,2343
