group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_generate_zk_proof,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes,time_zk_verify,time_verify
,,1,1000,1024,4096,true,544,297,443,1285,33561784,3297533,729517,21113,34590047,3991218,,433,760
,,1,1000,1024,4096,true,470,249,445,1164,33561784,3297401,729517,21101,34590047,3991074,,450,722
,,1,1000,1024,4096,true,537,233,414,1184,33561892,3297557,729517,21113,34590167,3991242,,413,669
bandwidth,,25,10,1024,4096,true,29396,1537,1111,32045,33561568,3296969,729517,21113,34589843,3990654,,1179,2762
bandwidth,,25,10,1024,4096,true,29337,1560,999,31897,33561532,3296957,729517,21113,34589807,3990642,,1102,2694
bandwidth,,25,10,1024,4096,true,29369,1545,997,31912,33561592,3296957,729517,21113,34589867,3990642,,1098,2676
bandwidth,,25,10,1024,4096,true,29300,1565,1014,31880,33561544,3296945,729517,21113,34589819,3990630,,1119,2710
bandwidth,,25,10,1024,4096,true,29373,1548,1014,31936,33561532,3296933,729517,21113,34589807,3990618,,1114,2700
bandwidth,,25,10,1024,4096,true,29389,1535,986,31912,33561532,3296945,729517,21113,34589807,3990630,,1082,2657
bandwidth,,25,10,1024,4096,true,29451,1539,1029,32020,33561520,3296933,729517,21113,34589795,3990618,,1112,2688
bandwidth,,25,10,1024,4096,true,29402,1564,997,31964,33561616,3297005,729517,21113,34589891,3990690,,1077,2684
bandwidth,,25,10,1024,4096,true,29400,1534,1022,31956,33561556,3296945,729517,21113,34589831,3990630,,1107,2659
bandwidth,,25,10,1024,4096,true,29266,1572,1021,31860,33561580,3296957,729517,21113,34589855,3990642,,1131,2733
bandwidth,,25,50,1024,4096,true,6191,1201,531,7923,33561460,3297053,729529,21101,34589747,3990726,,523,1745
bandwidth,,25,50,1024,4096,true,6176,1210,543,7930,33561448,3297077,729529,21113,34589735,3990762,,530,1768
bandwidth,,25,50,1024,4096,true,6155,1205,525,7886,33561472,3297065,729529,21101,34589759,3990738,,517,1747
bandwidth,,25,50,1024,4096,true,6187,1183,530,7901,33561472,3297077,729529,21101,34589759,3990750,,526,1729
bandwidth,,25,50,1024,4096,true,6169,1217,551,7938,33561472,3297053,729529,21101,34589759,3990726,,552,1794
bandwidth,,25,50,1024,4096,true,6197,1192,535,7924,33561472,3297065,729529,21101,34589759,3990738,,525,1734
bandwidth,,25,50,1024,4096,true,6178,1221,516,7916,33561448,3297053,729529,21101,34589735,3990726,,505,1751
bandwidth,,25,50,1024,4096,true,6148,1209,528,7885,33561460,3297065,729529,21113,34589747,3990750,,522,1755
bandwidth,,25,50,1024,4096,true,6121,1217,536,7875,33561448,3297053,729529,21101,34589735,3990726,,532,1769
bandwidth,,25,50,1024,4096,true,6169,1205,522,7897,33561472,3297053,729529,21113,34589759,3990738,,520,1750
bandwidth,,25,100,1024,4096,true,3278,1177,478,4934,33561424,3296933,729517,21101,34589687,3990606,,472,1673
bandwidth,,25,100,1024,4096,true,3355,1208,513,5076,33561412,3296945,729517,21101,34589675,3990618,,511,1742
bandwidth,,25,100,1024,4096,true,3344,1190,512,5047,33561388,3296873,729517,21101,34589651,3990546,,503,1719
bandwidth,,25,100,1024,4096,true,3357,1148,482,4988,33561412,3296861,729517,21101,34589675,3990534,,471,1643
bandwidth,,25,100,1024,4096,true,3324,1217,594,5136,33561400,3296933,729517,21101,34589663,3990606,,580,1824
bandwidth,,25,100,1024,4096,true,3381,1203,686,5271,33561448,3296837,729517,21101,34589711,3990510,,669,1911
bandwidth,,25,100,1024,4096,true,3339,1193,492,5025,33561412,3296921,729517,21101,34589687,3990594,,496,1707
bandwidth,,25,100,1024,4096,true,3319,1195,520,5035,33561448,3296909,729517,21101,34589711,3990582,,514,1730
bandwidth,,25,100,1024,4096,true,3244,1133,542,4920,33561460,3296909,729517,21101,34589723,3990582,,523,1682
bandwidth,,25,100,1024,4096,true,3285,1191,508,4986,33561436,3296933,729529,21101,34589711,3990606,,508,1724
bandwidth,,25,250,1024,4096,true,1760,1187,513,3461,33561364,3296645,729517,21113,34589627,3990330,,501,1719
bandwidth,,25,250,1024,4096,true,1714,1162,503,3380,33561340,3296669,729517,21113,34589603,3990354,,500,1685
bandwidth,,25,250,1024,4096,true,1737,1190,531,3460,33561364,3296633,729517,21113,34589627,3990318,,516,1733
bandwidth,,25,250,1024,4096,true,1720,1186,538,3445,33561364,3296645,729517,21113,34589627,3990330,,520,1734
