group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,1540,681,2237,48342760,3037313,1009921,328470,49369462,3365783,
,,1,1000,1024,4096,true,1354,501,1867,48342640,3036905,1009909,328470,49369330,3365375,
,,1,1000,1024,4096,true,1236,501,1757,48342868,3037217,1009909,328494,49369558,3365711,
bandwidth,,25,10,1024,4096,true,42062,1879,43955,48342820,3037025,1009921,328482,49369522,3365507,
bandwidth,,25,10,1024,4096,true,42057,1850,43923,48342808,3037025,1009921,328482,49369510,3365507,
bandwidth,,25,10,1024,4096,true,42109,1859,43980,48342820,3037025,1009921,328482,49369522,3365507,
bandwidth,,25,10,1024,4096,true,42314,1896,44227,48342724,3037025,1009921,328482,49369426,3365507,
bandwidth,,25,10,1024,4096,true,42202,1937,44162,48342832,3037025,1009921,328482,49369534,3365507,
bandwidth,,25,10,1024,4096,true,42092,1813,43921,48342796,3037025,1009921,328482,49369498,3365507,
bandwidth,,25,10,1024,4096,true,42041,1812,43869,48342868,3037169,1009921,328470,49369570,3365639,
bandwidth,,25,10,1024,4096,true,42079,1825,43924,48342832,3037025,1009921,328482,49369534,3365507,
bandwidth,,25,10,1024,4096,true,42155,1890,44062,48342832,3037013,1009921,328482,49369534,3365495,
bandwidth,,25,10,1024,4096,true,42109,1867,43991,48342844,3037025,1009921,328482,49369546,3365507,
bandwidth,,25,50,1024,4096,true,9322,1267,10605,48342820,3037061,1009957,328506,49369558,3365567,
bandwidth,,25,50,1024,4096,true,9268,1257,10547,48342760,3037049,1009957,328506,49369498,3365555,
bandwidth,,25,50,1024,4096,true,9258,1330,10612,48342772,3037097,1009957,328494,49369510,3365591,
bandwidth,,25,50,1024,4096,true,9266,1697,10978,48342832,3037085,1009957,328506,49369570,3365591,
bandwidth,,25,50,1024,4096,true,9094,1233,10343,48342796,3037061,1009957,328494,49369534,3365555,
bandwidth,,25,50,1024,4096,true,9185,1263,10465,48342796,3037097,1009957,328494,49369534,3365591,
bandwidth,,25,50,1024,4096,true,9205,1300,10521,48342796,3037097,1009957,328494,49369534,3365591,
bandwidth,,25,50,1024,4096,true,9077,1278,10369,48342796,3037025,1009957,328506,49369534,3365531,
bandwidth,,25,50,1024,4096,true,9090,1283,10391,48342772,3037025,1009957,328506,49369510,3365531,
bandwidth,,25,50,1024,4096,true,9149,1253,10422,48342796,3037085,1009957,328506,49369534,3365591,
bandwidth,,25,100,1024,4096,true,5084,1253,6357,48342688,3036929,1009909,328482,49369378,3365411,
bandwidth,,25,100,1024,4096,true,5045,1262,6322,48342724,3036893,1009909,328470,49369414,3365363,
bandwidth,,25,100,1024,4096,true,5125,1231,6372,48342640,3036881,1009909,328482,49369330,3365363,
bandwidth,,25,100,1024,4096,true,5094,1218,6327,48342700,3036929,1009909,328470,49369390,3365399,
bandwidth,,25,100,1024,4096,true,5118,1258,6394,48342628,3036929,1009909,328482,49369318,3365411,
bandwidth,,25,100,1024,4096,true,5101,1240,6358,48342652,3036941,1009909,328470,49369342,3365411,
bandwidth,,25,100,1024,4096,true,5129,1303,6451,48342640,3036893,1009921,328482,49369342,3365375,
bandwidth,,25,100,1024,4096,true,5047,1219,6284,48342664,3036929,1009909,328470,49369354,3365399,
bandwidth,,25,100,1024,4096,true,5101,1213,6333,48342700,3036905,1009909,328482,49369390,3365387,
bandwidth,,25,100,1024,4096,true,5124,1285,6433,48342664,3036905,1009909,328470,49369354,3365375,
bandwidth,,25,250,1024,4096,true,2686,1200,3900,48342556,3036653,1009909,328470,49369246,3365123,
bandwidth,,25,250,1024,4096,true,2689,1244,3948,48342568,3036641,1009909,328482,49369258,3365123,
bandwidth,,25,250,1024,4096,true,2669,1262,3949,48342568,3036665,1009921,328470,49369270,3365135,
bandwidth,,25,250,1024,4096,true,2665,1216,3902,48342568,3036653,1009909,328470,49369258,3365123,
bandwidth,,25,250,1024,4096,true,2653,1221,3890,48342568,3036689,1009909,328470,49369258,3365159,
bandwidth,,25,250,1024,4096,true,2847,1232,4098,48342568,3036677,1009909,328470,49369258,3365147,
bandwidth,,25,250,1024,4096,true,2617,1187,3821,48342568,3036653,1009909,328470,49369258,3365123,
bandwidth,,25,250,1024,4096,true,2618,1196,3832,48342568,3036653,1009909,328470,49369258,3365123,
bandwidth,,25,250,1024,4096,true,2663,1218,3898,48342556,3036641,1009909,328470,49369246,3365111,
bandwidth,,25,250,1024,4096,true,2680,1210,3908,48342568,3036653,1009909,328482,49369258,3365135,
bandwidth,,25,1000,1024,4096,true,1596,1236,2851,48342604,3036605,1009909,328470,49369294,3365075,
bandwidth,,25,1000,1024,4096,true,1612,1217,2845,48342604,3036617,1009909,328470,49369294,3365087,
bandwidth,,25,1000,1024,4096,true,1660,1267,2949,48342580,3036617,1009909,328470,49369270,3365087,
bandwidth,,25,1000,1024,4096,true,1635,1226,2878,48342616,3036617,1009909,328470,49369306,3365087,
bandwidth,,25,1000,1024,4096,true,1612,1220,2853,48342616,3036617,1009909,328482,49369306,3365099,
bandwidth,,25,1000,1024,4096,true,1689,1252,2963,48342592,3036605,1009909,328482,49369282,3365087,
bandwidth,,25,1000,1024,4096,true,1638,1247,2900,48342580,3036617,1009921,328470,49369282,3365087,
bandwidth,,25,1000,1024,4096,true,1589,1228,2835,48342604,3036605,1009909,328470,49369294,3365075,
bandwidth,,25,1000,1024,4096,true,1593,1212,2821,48342592,3036617,1009909,328470,49369282,3365087,
bandwidth,,25,1000,1024,4096,true,1616,1217,2847,48342604,3036605,1009909,328470,49369294,3365075,
latency,,10,1000,1024,4096,true,1133,963,2110,48342652,3036665,1009909,328482,49369342,3365147,
latency,,10,1000,1024,4096,true,1150,923,2086,48342640,3036821,1009909,328470,49369330,3365291,
latency,,10,1000,1024,4096,true,1142,906,2062,48342604,3036641,1009921,328470,49369306,3365111,
latency,,10,1000,1024,4096,true,1162,1029,2212,48342604,3036605,1009921,328482,49369306,3365087,
latency,,10,1000,1024,4096,true,1204,920,2143,48342616,3036617,1009921,328470,49369318,3365087,
latency,,10,1000,1024,4096,true,1141,934,2093,48342616,3036617,1009909,328470,49369306,3365087,
latency,,10,1000,1024,4096,true,1184,932,2136,48342616,3036617,1009909,328470,49369306,3365087,
latency,,10,1000,1024,4096,true,1223,911,2152,48342676,3036701,1009909,328482,49369366,3365183,
latency,,10,1000,1024,4096,true,1166,899,2081,48342616,3036629,1009909,328482,49369306,3365111,
latency,,10,1000,1024,4096,true,1134,944,2096,48342604,3036653,1009909,328482,49369294,3365135,
latency,,25,1000,1024,4096,true,1663,1210,2892,48342616,3036617,1009909,328482,49369306,3365099,
latency,,25,1000,1024,4096,true,1573,1233,2823,48342616,3036617,1009909,328470,49369306,3365087,
latency,,25,1000,1024,4096,true,1616,1220,2851,48342616,3036617,1009909,328470,49369306,3365087,
latency,,25,1000,1024,4096,true,1543,1242,2805,48342604,3036617,1009909,328482,49369294,3365099,
latency,,25,1000,1024,4096,true,1602,1206,2824,48342616,3036629,1009909,328482,49369306,3365111,
latency,,25,1000,1024,4096,true,1513,1242,2772,48342616,3036617,1009921,328470,49369318,3365087,
latency,,25,1000,1024,4096,true,1582,1256,2861,48342604,3036629,1009909,328470,49369294,3365099,
latency,,25,1000,1024,4096,true,1513,1216,2742,48342616,3036617,1009909,328470,49369306,3365087,
latency,,25,1000,1024,4096,true,1578,1216,2807,48342616,3036629,1009909,328482,49369306,3365111,
latency,,25,1000,1024,4096,true,1579,1230,2828,48342616,3036617,1009909,328470,49369306,3365087,
latency,,50,1000,1024,4096,true,2498,1721,4247,48342604,3036629,1009909,328470,49369294,3365099,
latency,,50,1000,1024,4096,true,2516,1709,4238,48342604,3036617,1009909,328470,49369294,3365087,
latency,,50,1000,1024,4096,true,2525,1730,4274,48342616,3036629,1009909,328470,49369306,3365099,
latency,,50,1000,1024,4096,true,2489,1729,4231,48342616,3036629,1009909,328470,49369306,3365099,
latency,,50,1000,1024,4096,true,2498,1732,4243,48342604,3036617,1009909,328470,49369294,3365087,
latency,,50,1000,1024,4096,true,2495,1721,4233,48342592,3036617,1009909,328470,49369282,3365087,
latency,,50,1000,1024,4096,true,2499,1716,4229,48342604,3036617,1009909,328470,49369294,3365087,
latency,,50,1000,1024,4096,true,2546,1744,4311,48342592,3036629,1009909,328470,49369282,3365099,
latency,,50,1000,1024,4096,true,2509,1747,4273,48342604,3036617,1009909,328470,49369294,3365087,
latency,,50,1000,1024,4096,true,2432,1745,4189,48342616,3036617,1009909,328470,49369306,3365087,
latency,,100,1000,1024,4096,true,4469,2725,7208,48342616,3036617,1009909,328470,49369306,3365087,
latency,,100,1000,1024,4096,true,4385,2707,7104,48342604,3036617,1009909,328470,49369294,3365087,
latency,,100,1000,1024,4096,true,4408,2742,7165,48342616,3036617,1009909,328470,49369306,3365087,
latency,,100,1000,1024,4096,true,4474,2716,7210,48342604,3036629,1009909,328470,49369294,3365099,
latency,,100,1000,1024,4096,true,4578,2766,7355,48342616,3036641,1009909,328482,49369306,3365123,
latency,,100,1000,1024,4096,true,4489,2751,7259,48342616,3036629,1009909,328470,49369306,3365099,
latency,,100,1000,1024,4096,true,4585,2737,7334,48342556,3036617,1009909,328470,49369246,3365087,
