run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,31046,3766,839,1000,,36653,1838,2275,215,11.7,false
2,0,false,31086,3792,825,1000,,36706,1838,2275,215,11.7,false
3,0,false,31137,3645,892,1000,,36675,1838,2275,215,11.7,false
4,0,false,31448,3824,977,1000,,37252,1838,2275,215,11.7,false
5,0,false,33926,3776,953,1000,,39658,1838,2275,215,11.7,false
6,0,false,31408,3815,873,1000,,37098,1835,2275,215,11.7,false
7,0,false,32157,3810,863,1000,,37833,1838,2275,215,11.7,false
8,0,false,33609,3772,959,1000,,39341,1838,2275,215,11.7,false
9,0,false,31072,3747,814,1000,,36635,1835,2275,215,11.7,false
10,0,false,33529,3827,922,1000,,39280,1838,2275,215,11.7,false
11,0,false,31818,3633,701,1000,,37154,829,2275,15,1.8,false
12,0,false,34340,3728,757,1000,,39827,831,2275,15,1.8,false
13,0,false,31500,3892,983,1000,,37377,828,2275,15,1.8,false
14,0,false,31469,3655,640,1000,,36765,831,2275,15,1.8,false
15,0,false,31132,3466,646,1000,,36245,831,2275,15,1.8,false
16,0,false,33729,3721,691,1000,,39144,831,2275,15,1.8,false
17,0,false,33560,4111,819,1000,,39492,831,2275,15,1.8,false
18,0,false,31125,3623,749,1000,,36499,831,2275,15,1.8,false
19,0,false,33680,3960,853,1000,,39495,831,2275,15,1.8,false
20,0,false,33796,3913,911,1000,,39622,828,2275,15,1.8,false
