run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,13772,3095,665,1001,,18536,1838,2274,215,11.7,false
2,0,false,13167,2958,771,1000,,17899,1836,2274,215,11.7,false
3,0,false,8789,2659,609,1000,,13060,1826,2204,215,11.8,false
4,0,false,8638,2558,582,1000,,12780,1838,2274,215,11.7,false
5,0,false,8628,2757,581,1000,,12969,1838,2274,215,11.7,false
6,0,false,13087,2795,558,1000,,17443,1838,2274,215,11.7,false
7,0,false,13170,2933,628,1000,,17734,1838,2274,215,11.7,false
8,0,false,13866,3551,795,1000,,19214,1835,2274,215,11.7,false
9,0,false,13125,2805,411,1000,,17343,831,2274,15,1.8,false
10,0,false,13358,3141,517,1000,,18018,831,2274,15,1.8,false
11,0,false,13087,2942,457,1000,,17487,828,2274,15,1.8,false
12,0,false,13192,3318,500,1000,,18012,831,2274,15,1.8,false
13,0,false,8505,2755,509,1000,,12771,828,2274,15,1.8,false
14,0,false,13236,3036,497,1000,,17770,831,2274,15,1.8,false
15,0,false,13174,2870,494,1000,,17540,831,2274,15,1.8,false
16,0,false,13132,2871,493,1000,,17497,829,2274,15,1.8,false
17,0,false,13127,2729,404,1000,,17261,831,2274,15,1.8,false
18,0,false,8488,2597,463,1000,,12549,831,2274,15,1.8,false
19,0,false,8774,2558,478,1000,,12812,831,2274,15,1.8,false
20,0,false,8664,2681,462,1001,,12810,829,2274,15,1.8,false
