run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,32122,6200,1596,1000,,40921,1838,2274,215,11.7,false
2,0,false,16842,5761,1578,1000,,25184,1838,2274,215,11.7,false
3,0,false,31950,6208,1317,1001,,40480,1835,2274,215,11.7,false
4,0,false,16891,5821,1748,1000,,25464,1835,2274,215,11.7,false
5,0,false,16838,5541,1310,1000,,24692,1838,2274,215,11.7,false
6,0,false,16541,5642,1740,1000,,24926,1838,2274,215,11.7,false
7,0,false,16566,5785,1447,1000,,24801,1836,2274,215,11.7,false
8,0,false,31830,6556,1757,1000,,41146,1836,2274,215,11.7,false
9,0,false,16728,5929,1584,1000,,25245,1838,2274,215,11.7,false
10,0,false,31853,6625,1742,1000,,41223,1835,2274,215,11.7,false
11,0,false,16580,6041,1756,1000,,25381,1838,2274,215,11.7,false
12,0,false,16396,5885,1312,1000,,24595,1835,2274,215,11.7,false
13,0,false,16570,5756,1320,1000,,24650,1838,2274,215,11.7,false
14,0,false,31802,6199,1762,1000,,40766,1838,2274,215,11.7,false
15,0,false,17268,11035,1769,1000,,31074,1838,2274,215,11.7,false
16,0,false,16653,5828,1076,1000,,24558,828,2274,15,1.8,false
17,0,false,17043,5580,1357,1000,,24983,831,2274,15,1.8,false
18,0,false,16679,5744,1369,1000,,24794,829,2274,15,1.8,false
19,0,false,16648,5597,1058,1000,,24305,831,2274,15,1.8,false
20,0,false,16498,5413,1211,1000,,24124,831,2274,15,1.8,false
