run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,3293,1476,344,1000,,6116,1826,2263,215,11.8,false
2,0,false,3175,1758,326,1001,,6262,1826,2263,215,11.8,false
3,0,false,3272,1431,317,1000,,6023,1826,2263,215,11.8,false
4,0,false,3274,1363,376,1000,,6016,1823,2263,215,11.8,false
5,0,false,3097,1512,326,1001,,5938,1826,2263,215,11.8,false
6,0,false,3171,1533,324,1000,,6031,1826,2263,215,11.8,false
7,0,false,3219,1539,325,1000,,6085,1826,2263,215,11.8,false
8,0,false,3173,1443,310,1000,,5929,1823,2263,215,11.8,false
9,0,false,3375,1429,335,1000,,6142,1826,2263,215,11.8,false
10,0,false,3086,1334,344,1000,,5767,1823,2263,215,11.8,false
11,0,false,3065,1371,311,1001,,5750,1826,2263,215,11.8,false
12,0,false,3034,1576,324,1000,,5937,1826,2263,215,11.8,false
13,0,false,3150,1319,332,1000,,5803,1824,2263,215,11.8,false
14,0,false,3100,1278,298,1000,,5678,1830,2263,215,11.7,false
15,0,false,2957,1377,320,1000,,5656,1826,2263,215,11.8,false
16,0,false,3224,1475,319,1000,,6021,1823,2263,215,11.8,false
17,0,false,3569,1537,339,1000,,6448,1826,2263,215,11.8,false
18,0,false,3134,1360,305,1000,,5802,1826,2263,215,11.8,false
19,0,false,2915,1340,332,1001,,5590,1823,2263,215,11.8,false
20,0,false,3056,1317,300,1000,,5676,1823,2263,215,11.8,false
