run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,79370,4928,159,1000,,85461,2352,2950,57,2.4,false
1,1,true,78141,4777,153,1000,,84075,1680,2941,121,7.2,false
2,0,false,80382,4867,141,1000,,86394,2677,2950,57,2.1,false
2,1,false,79927,4497,205,1000,,85634,2005,2941,121,6.0,false
3,0,false,80831,5207,138,1000,,87180,2677,2950,57,2.1,false
3,1,false,80581,4837,194,1000,,86615,2004,2941,121,6.0,false
4,0,false,79101,15878,270,1000,,96252,2677,2950,57,2.1,false
4,1,false,60944,15652,129,1000,,77729,2005,2941,121,6.0,false
5,0,false,79325,4634,142,1000,,85105,2677,2950,57,2.1,false
5,1,false,51481,14399,941,1000,,67823,2004,2941,121,6.0,false
6,0,false,47134,7155,838,1000,,56131,2676,2950,57,2.1,false
6,1,false,79128,4472,179,1000,,84781,2005,2941,121,6.0,false
7,0,false,71421,6544,183,1000,,79153,2677,2950,57,2.1,false
7,1,false,77267,4596,178,1000,,83044,2004,2941,121,6.0,false
8,0,false,45193,5943,178,1000,,52317,2677,2950,57,2.1,false
8,1,false,79053,4728,195,1000,,84980,2005,2941,121,6.0,false
9,0,false,78854,4814,116,1000,,84788,2677,2950,57,2.1,false
9,1,false,50765,12120,871,1000,,64758,2004,2941,121,6.0,false
10,0,false,47398,6899,873,1000,,56173,2677,2950,57,2.1,false
10,1,false,78755,4475,174,1000,,84406,2005,2941,121,6.0,false
11,0,false,73267,5837,184,1001,,80292,2352,2985,57,2.4,false
11,1,false,78055,4891,177,1000,,84127,1680,2976,121,7.2,false
12,0,false,60885,15539,375,1000,,77803,2352,2985,57,2.4,false
12,1,false,78692,9589,134,1001,,89418,1680,2976,121,7.2,false
13,0,false,77747,4888,135,1000,,83775,2352,2985,57,2.4,false
13,1,false,78706,4947,207,1000,,84863,1680,2976,121,7.2,false
14,0,false,79364,4751,150,1000,,85269,2352,2985,57,2.4,false
14,1,false,51336,13680,871,2000,,67890,1680,2976,121,7.2,false
15,0,false,71979,6988,129,1000,,80104,2352,2985,57,2.4,false
15,1,false,77757,9115,293,1000,,88167,1680,2976,121,7.2,false
16,0,false,78172,10820,204,1000,,90202,2352,2985,57,2.4,false
16,1,false,79061,9927,179,1000,,90173,1680,2976,121,7.2,false
17,0,false,79260,4791,169,1000,,85223,2352,2985,57,2.4,false
17,1,false,78303,4765,195,1000,,84266,1680,2976,121,7.2,false
18,0,false,50043,13196,927,2001,,66170,2677,2985,57,2.1,false
18,1,false,79494,4722,176,1000,,85394,2005,2976,121,6.0,false
19,0,false,78935,4903,179,1001,,85021,2677,2985,57,2.1,false
19,1,false,50998,7733,586,1000,,60319,2005,2976,121,6.0,false
20,0,false,60125,7111,491,1000,,68730,2677,2985,57,2.1,false
20,1,false,89573,4668,179,1000,,95423,2005,2976,121,6.0,false
