run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,13006,5933,128,1000,,20069,2352,2951,57,2.4,false
1,1,true,-1,-1,-1,-1,,-1,0,0,0,,true
2,0,false,12692,6063,519,1004,,20283,2352,2951,57,2.4,false
2,1,false,20615,4615,225,1000,,26458,1680,2942,121,7.2,false
3,0,false,16090,3784,139,1000,,21022,2352,2986,57,2.4,false
3,1,false,19505,3049,99,1000,,23655,1680,2977,121,7.2,false
4,0,false,12412,6224,79,1001,,19720,2352,2986,57,2.4,false
4,1,false,19748,3275,134,1000,,24160,1680,2977,121,7.2,false
5,0,false,22923,3443,102,1000,,27471,2352,2951,57,2.4,false
5,1,false,13801,3997,233,1000,,19032,1680,2942,121,7.2,false
6,0,false,12541,6410,114,1000,,20070,2352,2951,57,2.4,false
6,1,false,19859,3070,132,1000,,24062,1680,2942,121,7.2,false
7,0,false,13436,5233,576,1000,,20248,2352,2951,57,2.4,false
7,1,false,19509,3977,132,1000,,24621,1680,2942,121,7.2,false
8,0,false,22495,3377,102,1000,,26977,2352,2951,57,2.4,false
8,1,false,14556,4381,142,1000,,20082,1680,2942,121,7.2,false
9,0,false,22136,3534,92,1000,,26765,2352,2951,57,2.4,false
9,1,false,13402,3966,387,1000,,18757,1680,2942,121,7.2,false
10,0,false,21471,3796,105,1000,,26375,2352,2951,57,2.4,false
10,1,false,15064,4564,108,1000,,20740,1680,2942,121,7.2,false
11,0,false,13072,6122,109,1001,,20308,2352,2951,57,2.4,false
11,1,false,20430,3553,94,1000,,25078,1680,2942,121,7.2,false
12,0,false,13921,5683,152,1000,,20759,2352,2951,57,2.4,false
12,1,false,21097,5186,157,1000,,27443,1680,2942,121,7.2,false
13,0,false,14998,5368,426,1000,,21829,2352,2951,57,2.4,false
13,1,false,21268,3602,111,1000,,25987,1680,2942,121,7.2,false
14,0,false,13718,6123,88,1004,,20939,2352,2951,57,2.4,false
14,1,false,21193,3368,139,1000,,25703,1680,2942,121,7.2,false
15,0,false,22845,3752,125,1000,,27726,2352,2951,57,2.4,false
15,1,false,14265,4535,245,1000,,20060,1680,2942,121,7.2,false
16,0,false,22921,3627,117,1000,,27668,2352,2951,57,2.4,false
16,1,false,13141,3634,194,1000,,17973,1680,2942,121,7.2,false
17,0,false,22210,3588,119,1000,,26920,2352,2951,57,2.4,false
17,1,false,13588,4356,173,1000,,19121,1680,2942,121,7.2,false
18,0,false,12747,5958,89,1000,,19799,2352,2951,57,2.4,false
18,1,false,19772,3117,134,1000,,24024,1680,2942,121,7.2,false
19,0,false,22145,3691,124,1000,,26966,2676,2951,57,2.1,false
19,1,false,13819,4290,184,1000,,19303,2005,2942,121,6.0,false
20,0,false,12991,5886,81,1000,,19962,2675,2951,57,2.1,false
20,1,false,19931,3264,94,1000,,24290,2004,2942,121,6.0,false
