run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,23004,6809,211,1000,,31027,2352,2951,57,2.4,false
1,1,true,49893,12839,265,1000,,63999,1680,2942,121,7.2,false
2,0,false,23080,6358,269,1000,,30711,2352,2986,57,2.4,false
2,1,false,48648,7527,315,1000,,57492,1680,2977,121,7.2,false
3,0,false,48011,7669,193,1000,,56875,2352,2951,57,2.4,false
3,1,false,47645,7482,299,1000,,56429,1680,2942,121,7.2,false
4,0,false,27512,9976,299,1000,,38790,2352,2951,57,2.4,false
4,1,false,37085,6651,233,1000,,44971,1680,2942,121,7.2,false
5,0,false,22195,5953,190,1000,,29341,2352,2951,57,2.4,false
5,1,false,48817,7332,332,1000,,57483,1680,2942,121,7.2,false
6,0,false,22719,5970,192,1000,,29883,2352,2951,57,2.4,false
6,1,false,48611,7322,206,1000,,57141,1680,2942,121,7.2,false
7,0,false,22696,6110,175,1000,,29984,2352,2951,57,2.4,false
7,1,false,48381,7123,326,1000,,56832,1680,2942,121,7.2,false
8,0,false,22286,6017,317,1000,,29623,2677,2951,57,2.1,false
8,1,false,48283,7426,336,1000,,57046,2005,2942,121,6.0,false
9,0,false,22376,6082,326,1000,,29787,2676,2951,57,2.1,false
9,1,false,48273,7178,199,1000,,56652,2005,2942,121,6.0,false
10,0,false,46951,7007,318,1000,,55279,2677,2951,57,2.1,false
10,1,false,46985,8170,332,1001,,56488,2004,2942,121,6.0,false
11,0,false,22411,6410,175,1000,,29999,2677,2951,57,2.1,false
11,1,false,48330,7750,330,1000,,57412,2005,2942,121,6.0,false
12,0,false,22250,6311,324,1000,,29887,2677,2951,57,2.1,false
12,1,false,49000,6710,333,1000,,57046,2003,2942,121,6.0,false
13,0,false,46392,7429,294,1001,,55118,2676,2951,57,2.1,false
13,1,false,46778,7255,321,1000,,55355,2005,2942,121,6.0,false
14,0,false,22697,6193,332,1000,,30226,2676,2951,57,2.1,false
14,1,false,48263,7267,333,1000,,56865,2005,2942,121,6.0,false
15,0,false,46281,7115,334,1000,,54734,2677,2951,57,2.1,false
15,1,false,46718,7589,324,1000,,55633,2005,2942,121,6.0,false
16,0,false,21992,6196,302,1000,,29493,2676,2951,57,2.1,false
16,1,false,48435,7310,339,1001,,57086,2005,2942,121,6.0,false
17,0,false,24557,8662,177,1000,,34399,2677,2951,57,2.1,false
17,1,false,36486,6282,330,1000,,44100,2005,2942,121,6.0,false
18,0,false,22733,6429,299,1000,,30465,2677,2951,57,2.1,false
18,1,false,49098,7301,195,1000,,57596,2005,2942,121,6.0,false
19,0,false,46408,7659,301,1000,,55371,2677,2951,57,2.1,false
19,1,false,46817,8018,214,1000,,56050,2005,2942,121,6.0,false
20,0,false,22026,6352,316,1000,,29698,2676,2951,57,2.1,false
20,1,false,49454,6839,330,1000,,57625,2005,2942,121,6.0,false
