run,prove_index,cold_start,connectionMs,requestMs,proofGenerationMs,verificationMs,verifierServerMs,totalProtocolMs,recvBytes,sentBytes,revealedRecvBytes,revealRatioPct,error
1,0,true,6672,2494,35,1000,,10207,2352,2587,57,2.4,false
1,1,true,6670,1995,67,1000,,9738,1680,2578,121,7.2,false
2,0,false,6931,2607,39,1000,,10582,2352,2587,57,2.4,false
2,1,false,6924,2116,62,1000,,10107,1680,2578,121,7.2,false
3,0,false,7532,2181,45,1000,,10764,2352,2587,57,2.4,false
3,1,false,7536,2558,58,1000,,11154,1680,2578,121,7.2,false
4,0,false,5632,2247,34,1000,,8917,2352,2587,57,2.4,false
4,1,false,6219,2065,66,1000,,9353,1680,2578,121,7.2,false
5,0,false,6630,1914,54,1000,,9603,2352,2587,57,2.4,false
5,1,false,6635,2420,54,1000,,10111,1680,2578,121,7.2,false
6,0,false,6208,1911,34,1000,,9156,2352,2587,57,2.4,false
6,1,false,5667,1903,51,1000,,8623,1680,2578,121,7.2,false
7,0,false,6379,2032,43,1000,,9458,2352,2587,57,2.4,false
7,1,false,6388,2360,55,1000,,9805,1680,2578,121,7.2,false
8,0,false,6333,1912,31,1000,,9279,2352,2587,57,2.4,false
8,1,false,5860,1857,62,1000,,8782,1680,2578,121,7.2,false
9,0,false,6383,2277,30,1001,,9693,2352,2587,57,2.4,false
9,1,false,6378,1783,53,1001,,9217,1680,2578,121,7.2,false
10,0,false,6695,1833,37,1000,,9567,2352,2587,57,2.4,false
10,1,false,6696,2326,62,1001,,10086,1680,2578,121,7.2,false
11,0,false,5841,1943,34,1000,,8821,2352,2587,57,2.4,false
11,1,false,6325,1938,50,1000,,9315,1680,2578,121,7.2,false
12,0,false,6506,2204,31,1001,,9744,2352,2587,57,2.4,false
12,1,false,6502,1824,58,1000,,9386,1680,2578,121,7.2,false
13,0,false,6445,2295,36,1000,,9779,2352,2587,57,2.4,false
13,1,false,6443,1810,61,1000,,9317,1680,2578,121,7.2,false
14,0,false,6784,2329,34,1001,,10151,2352,2587,57,2.4,false
14,1,false,6782,1838,53,1000,,9675,1680,2578,121,7.2,false
15,0,false,6352,1846,41,1000,,9244,2352,2587,57,2.4,false
15,1,false,6369,2413,49,1000,,9833,1680,2578,121,7.2,false
16,0,false,6624,2469,35,1000,,10130,2352,2587,57,2.4,false
16,1,false,6621,2024,56,1000,,9705,1680,2578,121,7.2,false
17,0,false,6769,2403,33,1000,,10209,2352,2587,57,2.4,false
17,1,false,6767,1857,66,1000,,9692,1680,2578,121,7.2,false
18,0,false,6865,2578,41,1000,,10488,2352,2587,57,2.4,false
18,1,false,6860,2294,63,1000,,10220,1680,2578,121,7.2,false
19,0,false,6521,2336,35,1000,,9896,2352,2587,57,2.4,false
19,1,false,6517,1882,61,1000,,9462,1680,2578,121,7.2,false
20,0,false,6860,1969,41,1000,,9873,2352,2587,57,2.4,false
20,1,false,6865,2402,48,1000,,10317,1680,2578,121,7.2,false
